Haltungsname,15602000-15,15602000-20,15602000-25,15602000-30,15602000-35,15602000-40,15602000-45,15602000-50,15602000-55,15602000-60
Schacht oben,235780090139,235780090140,235780090141,235779090167,235779090173,235779090172,235779090168,235779090171,235779090169,235779090034
Schacht unten,235780090140,235780090141,235779090167,235779090173,235779090172,235779090168,235779090171,235779090169,235779090034,235779090033
Laenge [m],38.25,40.82,40.67,11.77,13.32,7.55,25.05,18.67,49.17,6.03
Entwaesserungsart,Mischwasser,Mischwasser,Mischwasser,Mischwasser,Mischwasser,Mischwasser,Mischwasser,Mischwasser,Mischwasser,MW nicht angeschlossen
Hoehe [m],0.3,0.3,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Breite [m],0.3,0.3,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Material,,,,,,,,,,
Strasse,,,,,,,,,,
Typ,Haltung,Haltung,Haltung,Haltung,Haltung,Haltung,Haltung,Haltung,Haltung,Haltung
